,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
rf,Random Forest Classifier,0.6412,0.8864,0.6412,0.6521,0.6346,0.5433,0.5476,0.033
lr,Logistic Regression,0.6388,0.0,0.6388,0.6509,0.6325,0.5403,0.5452,0.446
lda,Linear Discriminant Analysis,0.6289,0.0,0.6289,0.6333,0.6234,0.5298,0.5326,0.019
nb,Naive Bayes,0.6168,0.8658,0.6168,0.6315,0.6104,0.5143,0.5191,0.016
et,Extra Trees Classifier,0.6115,0.8836,0.6115,0.6234,0.6042,0.505,0.5103,0.03
lightgbm,Light Gradient Boosting Machine,0.6068,0.8679,0.6068,0.6184,0.6035,0.5017,0.5052,0.225
catboost,CatBoost Classifier,0.6066,0.8752,0.6066,0.6118,0.5997,0.5,0.504,2.068
xgboost,Extreme Gradient Boosting,0.6044,0.8663,0.6044,0.6124,0.5993,0.498,0.5014,0.048
gbc,Gradient Boosting Classifier,0.6018,0.0,0.6018,0.6172,0.5963,0.4952,0.4989,0.101
knn,K Neighbors Classifier,0.545,0.834,0.545,0.5587,0.5391,0.4236,0.4284,0.286
qda,Quadratic Discriminant Analysis,0.5404,0.0,0.5404,0.5469,0.5266,0.4147,0.4219,0.009
ridge,Ridge Classifier,0.5382,0.0,0.5382,0.4926,0.4813,0.4064,0.424,0.014
ada,Ada Boost Classifier,0.5352,0.0,0.5352,0.5471,0.5221,0.4173,0.4263,0.021
dt,Decision Tree Classifier,0.5307,0.7014,0.5307,0.5444,0.527,0.404,0.4078,0.021
svm,SVM - Linear Kernel,0.5038,0.0,0.5038,0.5034,0.4895,0.3724,0.3776,0.013
dummy,Dummy Classifier,0.2825,0.5,0.2825,0.0799,0.1246,0.0,0.0,0.006
